valid,mean_velocity,std_velocity,mean_stride,std_stride,mean_knee_angle_left,mean_knee_angle_right,std_knee_angle_left,std_knee_angle_right,mean_arm_amp_left,mean_arm_amp_right,label
True,0.5120053181618243,0.5216334511442565,0.09042072198671207,0.08584747924197769,87.3748224699704,99.84299201496948,32.06572189611201,23.04635130063494,0.11019919191270418,0.15474855943270563,no_weapon
True,0.3601640665108681,0.5751146442685618,0.0952673788504081,0.046494406443628254,116.59102967503074,117.73584594275611,25.433545316635144,30.18320596889252,0.11993628423192385,0.18087193578926497,no_weapon
True,0.3113510265983035,0.5107444306647602,0.14973812879036982,0.09707259229139525,70.33984103942348,79.89773378484153,24.06925453166153,23.389040863153138,0.11614381103729927,0.1266697784813066,no_weapon
True,3.4224558043063693,5.628696472638578,0.10842010528564801,0.08054085484032979,122.18782265588725,122.57074719711586,19.16022804087194,25.479687179384793,0.11755748734129992,0.13823403121091396,no_weapon
True,1.8457882692722678,1.68680196133397,0.12556468790799252,0.07410473122414081,137.62688384052424,137.37839578684154,18.247998911946322,18.512882886085645,0.24686792878793973,0.348789265190182,no_weapon
True,2.914424333530245,6.516074022989318,0.101304631656518,0.04794328439900371,115.45662723884524,114.82674443498455,14.460833038400594,17.43249810397098,0.13970633784942907,0.16904068289553714,no_weapon
True,1.6449359338397171,2.4200780322911495,0.08582021975022378,0.04847717523051206,117.76850773206652,121.23740031798827,17.402280410241715,16.224821180882344,0.14749798183151372,0.16268550575130655,no_weapon
True,2.1791083598878673,4.654879982568745,0.09454834885761589,0.060645960669391104,101.91277715126665,104.1405894102675,15.01513732455211,16.347238335091202,0.1493204629843363,0.1286575268266748,no_weapon
True,3.841893165353024,8.068083532865085,0.06100500710358804,0.055036943793097565,115.02665619767666,118.33303789908975,16.04802905974024,20.506721720557334,0.13498070566429432,0.18064671453202022,no_weapon
True,1.8713527899105,4.287745971204081,0.0863037009350645,0.06607969052909554,117.09205352355924,119.61426483942215,15.62720099800499,16.376160146384088,0.14505679300301297,0.13149986573120995,no_weapon
True,3.1583759939418803,5.96750908823433,0.10333303669516898,0.05786051840296041,133.34745134982808,128.51504858368736,15.462242910863553,17.81688711924738,0.21718837339629346,0.24672180740522157,no_weapon
True,5.6612978707752735,9.977208627658047,0.06655564186394504,0.0434718828501098,125.63390512886131,123.16373628309275,19.953271434948146,19.35176571790464,0.12920125776251457,0.13061807945343404,no_weapon
True,9.214081497625596,7.751515913921109,0.17512809428963147,0.09461001060387747,124.67351053099966,122.22893687647745,27.742393068366823,33.44586029288779,0.23784145293067765,0.2554507804761757,no_weapon
